# Channel,Subsystem,Area,Mirror,Distance,Direction,Sensor,Fs
L1:IMC-F_OUT_DQ,IMC,HAM2,,,,FEEDBACK,16384
L1:IMC-I_OUT_DQ,IMC,HAM2,,,,FEEDBACK,16384
L1:IMC-L_OUT_DQ,IMC,HAM2,,,,FEEDBACK,2048
L1:IMC-REFL_DC_OUT_DQ,IMC,HAM2,,,,PD,2048
L1:IMC-TRANS_OUT_DQ,IMC,HAM2,,,,PD,16384
L1:LSC-ASAIR_A_LF_OUT_DQ,LSC,ISCT6,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-ASAIR_A_RF45_I_ERR_DQ,LSC,ISCT6,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-ASAIR_A_RF45_Q_ERR_DQ,LSC,ISCT6,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-ASAIR_B_LF_OUT_DQ,LSC,ISCT6,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-ASAIR_B_RF18_I_ERR_DQ,LSC,ISCT6,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-ASAIR_B_RF18_Q_ERR_DQ,LSC,ISCT6,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-ASAIR_B_RF90_I_ERR_DQ,LSC,ISCT6,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-ASAIR_B_RF90_Q_ERR_DQ,LSC,ISCT6,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-CARM_IN1_DQ,LSC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-CARM_OUT_DQ,LSC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,,FEEDBACK,16384
L1:LSC-DARM_IN1_DQ,LSC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-DARM_OUT_DQ,LSC,"X-ARM, Y-ARM","ITMX, ITMY, ETMX, ETMY",,,FEEDBACK,16384
L1:LSC-MC_IN1_DQ,LSC,IMC,"ITMX, ITMY, ETMX, ETMY",,,,2048
L1:LSC-MC_OUT_DQ,LSC,IMC,"ITMX, ITMY, ETMX, ETMY",,,,2048
L1:LSC-MICH_IN1_DQ,LSC,DRMI,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,16384
L1:LSC-MICH_OUT_DQ,LSC,DRMI,"ITMX, ITMY, ETMX, ETMY",,,FEEDBACK,16384
L1:LSC-POPAIR_A_LF_OUT_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POPAIR_A_RF45_I_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POPAIR_A_RF45_Q_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
L1:LSC-POPAIR_A_RF9_I_ERR_DQ,LSC,ISCT1,"ITMX, ITMY, ETMX, ETMY",,,RF_LENGTH,2048
